nombre,poblacion,superficie,continente
Argentina,453767762,2780401,América
Brasil,213993437,8515767,América
Canada,38246108,9984670,América
Mexico,126014024,1964375,América
Estados Unidos,331449281,9833517,América
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,60367477,301340,Europa
Reino Unido,67026292,243610,Europa
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Arabia Saudita,34813871,2149690,Asia
Nigeria,206139589,923768,África
Etiopía,114963588,1104300,África
Sudáfrica,59308690,1219090,África
Egipto,102334404,1001449,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
peru,33000000,1285216,América
